energy_consumption_kwh,hour,client_id,date,ext_dev_ref,energy_consumption,resolution,date_dt,timestamp_local,timestamp_utc,location_id,meter_id,year,month,day,hour_of_day,day_of_week,quarter,is_weekend,season,time_period,load_period,data_quality_flag,daily_total_kwh,daily_avg_kwh,consumption_vs_daily_avg
100.0,0,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 00:00:00+02:00,2021-12-31 22:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,0.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,1,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 01:00:00+02:00,2021-12-31 23:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,1.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,2,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 02:00:00+02:00,2022-01-01 00:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,2.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,3,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 03:00:00+02:00,2022-01-01 01:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,3.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,4,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 04:00:00+02:00,2022-01-01 02:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,4.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,5,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 05:00:00+02:00,2022-01-01 03:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,5.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,6,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 06:00:00+02:00,2022-01-01 04:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,6.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,7,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 07:00:00+02:00,2022-01-01 05:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,7.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,8,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 08:00:00+02:00,2022-01-01 06:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,8.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,9,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 09:00:00+02:00,2022-01-01 07:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,9.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,10,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 10:00:00+02:00,2022-01-01 08:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,10.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
